[?1034h== Refs (3085 B) ==
+------------+------------------+----------------+-------+
| Path       | Uncompressed (B) | Compressed (B) | Ratio |
+------------+------------------+----------------+-------+
| Containers |       3312       |      1054      |  3.14 |
| Databases  |       1861       |      1029      |  1.81 |
| Links      |       1900       |      837       |  2.27 |
| Params     |       165        |      165       |  1.00 |
+------------+------------------+----------------+-------+
== Event (621392 B/event) ==
+-----------------------------------+------------------+----------------+-------+
| Path                              | Uncompressed (B) | Compressed (B) | Ratio |
+-----------------------------------+------------------+----------------+-------+
| /Event                            |       603        |      228       |  2.64 |
| /Event/Calo                       |        76        |       39       |  1.93 |
| /Event/Calo/RawEvent              |      11558       |      8863      |  1.30 |
| /Event/Gen                        |       132        |       60       |  2.17 |
| /Event/Gen/BeamParameters         |       241        |      148       |  1.63 |
| /Event/Gen/Collisions             |       1334       |      687       |  1.94 |
| /Event/Gen/Header                 |       535        |      306       |  1.75 |
| /Event/HC                         |        75        |       39       |  1.94 |
| /Event/HC/RawEvent                |        78        |       38       |  2.07 |
| /Event/HLT2                       |        76        |       39       |  1.93 |
| /Event/HLT2/pSim                  |       105        |       51       |  2.03 |
| /Event/HLT2/pSim/MCParticles      |      18310       |      6123      |  2.99 |
| /Event/HLT2/pSim/MCVertices       |      10201       |      3010      |  3.39 |
| /Event/Link                       |       249        |      116       |  2.13 |
| /Event/Link/Raw                   |       226        |      110       |  2.04 |
| /Event/Link/Raw/Ecal              |        78        |       41       |  1.89 |
| /Event/Link/Raw/Ecal/Digits       |      450719      |     94078      |  4.79 |
| /Event/Link/Raw/FT                |       105        |       53       |  1.98 |
| /Event/Link/Raw/FT/LiteClusters   |      119022      |     14956      |  7.96 |
| /Event/Link/Raw/Hcal              |        78        |       41       |  1.89 |
| /Event/Link/Raw/Hcal/Digits       |      65417       |     15686      |  4.17 |
| /Event/Link/Raw/Muon              |        78        |       41       |  1.89 |
| /Event/Link/Raw/Muon/Digits       |       6643       |      1248      |  5.32 |
| /Event/Link/Raw/UT                |       105        |       53       |  1.99 |
| /Event/Link/Raw/UT/Clusters       |      37609       |     10305      |  3.65 |
| /Event/Link/Raw/VP                |       105        |       53       |  1.99 |
| /Event/Link/Raw/VP/Digits         |      127427      |     34344      |  3.71 |
| /Event/Link/Rec                   |       105        |       50       |  2.06 |
| /Event/Link/Rec/Calo              |       165        |      164       |  1.01 |
| /Event/Link/Rec/Calo/Electrons    |      75696       |     16709      |  4.53 |
| /Event/Link/Rec/Calo/MergedPi0s   |       6620       |      1891      |  3.50 |
| /Event/Link/Rec/Calo/Photons      |      57156       |     13032      |  4.39 |
| /Event/Link/Rec/Calo/SplitPhotons |      12275       |      2964      |  4.14 |
| /Event/Link/Rec/Track             |        78        |       41       |  1.88 |
| /Event/Link/Rec/Track/Best        |       9072       |      1543      |  5.88 |
| /Event/MC                         |       161        |      160       |  1.01 |
| /Event/MC/DigiHeader              |       204        |      111       |  1.83 |
| /Event/MC/Header                  |       535        |      341       |  1.57 |
| /Event/MC/Muon                    |        76        |       40       |  1.92 |
