== Refs (1967 B) ==
+------------+------------------+----------------+-------+
| Path       | Uncompressed (B) | Compressed (B) | Ratio |
+------------+------------------+----------------+-------+
| Containers |       2602       |      906       |  2.87 |
| Databases  |        98        |       98       |  1.00 |
| Links      |       1788       |      797       |  2.24 |
| Params     |       166        |      166       |  1.00 |
+------------+------------------+----------------+-------+
== Event (640627 B/event) ==
+-----------------------------------+------------------+----------------+-------+
| Path                              | Uncompressed (B) | Compressed (B) | Ratio |
+-----------------------------------+------------------+----------------+-------+
| /Event                            |       626        |      227       |  2.76 |
| /Event/Calo                       |        45        |       22       |  2.05 |
| /Event/DAQ                        |        73        |       33       |  2.16 |
| /Event/DAQ/RawEvent               |      106901      |     62823      |  1.70 |
| /Event/Gen                        |       128        |       53       |  2.42 |
| /Event/Gen/BeamParameters         |       234        |      130       |  1.80 |
| /Event/Gen/Collisions             |       1325       |      658       |  2.01 |
| /Event/Gen/Header                 |       537        |      291       |  1.85 |
| /Event/HC                         |        73        |       33       |  2.17 |
| /Event/HC/RawEvent                |        77        |       34       |  2.23 |
| /Event/HLT2                       |        73        |       33       |  2.16 |
| /Event/HLT2/pSim                  |       102        |       46       |  2.22 |
| /Event/HLT2/pSim/MCParticles      |      18383       |      6138      |  2.99 |
| /Event/HLT2/pSim/MCVertices       |      10221       |      3005      |  3.40 |
| /Event/Link                       |       101        |       44       |  2.28 |
| /Event/Link/Raw                   |       219        |       98       |  2.24 |
| /Event/Link/Raw/Ecal              |        74        |       35       |  2.10 |
| /Event/Link/Raw/Ecal/Digits       |      464767      |     97661      |  4.76 |
| /Event/Link/Raw/FT                |        74        |       35       |  2.12 |
| /Event/Link/Raw/FT/LiteClusters   |      120973      |     15124      |  8.00 |
| /Event/Link/Raw/Hcal              |        74        |       35       |  2.10 |
| /Event/Link/Raw/Hcal/Digits       |      66681       |     15971      |  4.17 |
| /Event/Link/Raw/Muon              |        74        |       35       |  2.10 |
| /Event/Link/Raw/Muon/Digits       |       6506       |      1212      |  5.37 |
| /Event/Link/Raw/UT                |        74        |       35       |  2.12 |
| /Event/Link/Raw/UT/Clusters       |      39275       |     10704      |  3.67 |
| /Event/Link/Raw/VP                |        74        |       35       |  2.12 |
