[?1034h== Refs (2561 B) ==
+------------+------------------+----------------+-------+
| Path       | Uncompressed (B) | Compressed (B) | Ratio |
+------------+------------------+----------------+-------+
| Containers |       3312       |      1054      |  3.14 |
| Databases  |       672        |      501       |  1.34 |
| Links      |       1900       |      837       |  2.27 |
| Params     |       169        |      169       |  1.00 |
+------------+------------------+----------------+-------+
== Event (763118 B/event) ==
+-----------------------------------+------------------+----------------+-------+
| Path                              | Uncompressed (B) | Compressed (B) | Ratio |
+-----------------------------------+------------------+----------------+-------+
| /Event                            |       620        |      247       |  2.51 |
| /Event/Calo                       |       103        |       72       |  1.42 |
| /Event/Calo/RawEvent              |      12297       |      9563      |  1.29 |
| /Event/Gen                        |       162        |      104       |  1.55 |
| /Event/Gen/BeamParameters         |       274        |      211       |  1.30 |
| /Event/Gen/Collisions             |       1396       |      695       |  2.01 |
| /Event/Gen/Header                 |       567        |      349       |  1.62 |
| /Event/HC                         |       102        |       72       |  1.42 |
| /Event/HC/RawEvent                |       109        |       82       |  1.32 |
| /Event/HLT2                       |       103        |       72       |  1.42 |
| /Event/HLT2/pSim                  |       141        |      105       |  1.34 |
| /Event/HLT2/pSim/MCParticles      |      22000       |      7195      |  3.06 |
| /Event/HLT2/pSim/MCVertices       |      12279       |      3464      |  3.54 |
| /Event/Link                       |       281        |      169       |  1.66 |
| /Event/Link/Raw                   |       260        |      165       |  1.57 |
| /Event/Link/Raw/Ecal              |       108        |       77       |  1.40 |
| /Event/Link/Raw/Ecal/Digits       |      579307      |     122153     |  4.74 |
| /Event/Link/Raw/FT                |       143        |      109       |  1.31 |
| /Event/Link/Raw/FT/LiteClusters   |      153110      |     18795      |  8.15 |
| /Event/Link/Raw/Hcal              |       108        |       77       |  1.40 |
| /Event/Link/Raw/Hcal/Digits       |      78933       |     18829      |  4.19 |
| /Event/Link/Raw/Muon              |       108        |       77       |  1.40 |
| /Event/Link/Raw/Muon/Digits       |       8797       |      1492      |  5.90 |
| /Event/Link/Raw/UT                |       143        |      109       |  1.31 |
| /Event/Link/Raw/UT/Clusters       |      46346       |     12528      |  3.70 |
| /Event/Link/Raw/VP                |       143        |      109       |  1.31 |
| /Event/Link/Raw/VP/Digits         |      147344      |     39369      |  3.74 |
| /Event/Link/Rec                   |       141        |      103       |  1.36 |
| /Event/Link/Rec/Calo              |       204        |      203       |  1.01 |
| /Event/Link/Rec/Calo/Electrons    |      113013      |     24131      |  4.68 |
| /Event/Link/Rec/Calo/MergedPi0s   |      12152       |      3191      |  3.81 |
| /Event/Link/Rec/Calo/Photons      |      71509       |     16120      |  4.44 |
| /Event/Link/Rec/Calo/SplitPhotons |      22094       |      5216      |  4.24 |
| /Event/Link/Rec/Track             |       108        |       77       |  1.39 |
| /Event/Link/Rec/Track/Best        |      10656       |      1801      |  5.92 |
| /Event/MC                         |       196        |      196       |  1.00 |
| /Event/MC/DigiHeader              |       237        |      173       |  1.37 |
| /Event/MC/Header                  |       567        |      386       |  1.47 |
| /Event/MC/Muon                    |       105        |       74       |  1.41 |
