[?1034h== Refs (2869 B) ==
+------------+------------------+----------------+-------+
| Path       | Uncompressed (B) | Compressed (B) | Ratio |
+------------+------------------+----------------+-------+
| Containers |       6731       |      1574      |  4.28 |
| Databases  |        98        |       98       |  1.00 |
| Links      |       2919       |      1029      |  2.84 |
| Params     |       168        |      168       |  1.00 |
+------------+------------------+----------------+-------+
== Event (3797612 B/event) ==
+--------------------------------------------------------+------------------+----------------+-------+
| Path                                                   | Uncompressed (B) | Compressed (B) | Ratio |
+--------------------------------------------------------+------------------+----------------+-------+
| /Event                                                 |       683        |      310       |  2.20 |
| /Event/Calo                                            |       237        |      237       |  1.00 |
| /Event/Calo/RawEvent                                   |      11635       |      8979      |  1.30 |
| /Event/Gen                                             |       283        |      283       |  1.00 |
| /Event/Gen/BeamParameters                              |       391        |      391       |  1.00 |
| /Event/Gen/Collisions                                  |       1163       |      723       |  1.61 |
| /Event/Gen/Header                                      |       578        |      435       |  1.33 |
| /Event/HC                                              |       233        |      233       |  1.00 |
| /Event/HC/RawEvent                                     |       253        |      253       |  1.00 |
| /Event/HLT2                                            |       237        |      237       |  1.00 |
| /Event/HLT2/pSim                                       |       271        |      271       |  1.00 |
| /Event/HLT2/pSim/MCParticles                           |      14564       |      5243      |  2.78 |
| /Event/HLT2/pSim/MCVertices                            |       8122       |      2691      |  3.02 |
| /Event/Link                                            |       381        |      312       |  1.22 |
| /Event/Link/MC                                         |       267        |      267       |  1.00 |
| /Event/Link/MC/Particles2MCRichTracks                  |       8460       |      1599      |  5.29 |
| /Event/Link/MC/Rich                                    |       253        |      253       |  1.00 |
| /Event/Link/MC/Rich/Hits2MCRichOpticalPhotons          |      144196      |      5321      | 27.10 |
| /Event/Link/Next                                       |       247        |      247       |  1.00 |
| /Event/Link/Next/MC                                    |       277        |      277       |  1.00 |
| /Event/Link/Next/MC/Particles2MCRichTracks             |      14350       |      2103      |  6.82 |
| /Event/Link/Next/MC/Rich                               |       263        |      263       |  1.00 |
| /Event/Link/Next/MC/Rich/Hits2MCRichOpticalPhotons     |      249950      |      8303      | 30.10 |
| /Event/Link/NextNext                                   |       255        |      255       |  1.00 |
| /Event/Link/NextNext/MC                                |       285        |      285       |  1.00 |
| /Event/Link/NextNext/MC/Particles2MCRichTracks         |      11250       |      1725      |  6.52 |
| /Event/Link/NextNext/MC/Rich                           |       271        |      271       |  1.00 |
| /Event/Link/NextNext/MC/Rich/Hits2MCRichOpticalPhotons |      178150      |      6617      | 26.92 |
| /Event/Link/Prev                                       |       247        |      247       |  1.00 |
| /Event/Link/Prev/MC                                    |       277        |      277       |  1.00 |
| /Event/Link/Prev/MC/Particles2MCRichTracks             |       8734       |      1515      |  5.77 |
| /Event/Link/Prev/MC/Rich                               |       263        |      263       |  1.00 |
| /Event/Link/Prev/MC/Rich/Hits2MCRichOpticalPhotons     |      151514      |      5389      | 28.12 |
| /Event/Link/PrevPrev                                   |       255        |      255       |  1.00 |
| /Event/Link/PrevPrev/MC                                |       285        |      285       |  1.00 |
| /Event/Link/PrevPrev/MC/Particles2MCRichTracks         |       3522       |      843       |  4.18 |
| /Event/Link/PrevPrev/MC/Rich                           |       271        |      271       |  1.00 |
| /Event/Link/PrevPrev/MC/Rich/Hits2MCRichOpticalPhotons |      55822       |      2429      | 22.98 |
| /Event/Link/Raw                                        |       365        |      316       |  1.16 |
| /Event/Link/Raw/Ecal                                   |       255        |      255       |  1.00 |
| /Event/Link/Raw/Ecal/Digits                            |      445904      |     96053      |  4.64 |
| /Event/Link/Raw/FT                                     |       323        |      318       |  1.01 |
| /Event/Link/Raw/FT/LiteClusters                        |      83164       |     10691      |  7.78 |
| /Event/Link/Raw/FT/LiteClusters2MCHits                 |      85874       |     11995      |  7.16 |
| /Event/Link/Raw/FT/LiteClusters2MCHitsWithSpillover    |      123708      |     19185      |  6.45 |
| /Event/Link/Raw/FT/LiteClustersWithSpillover           |      118710      |     17787      |  6.67 |
| /Event/Link/Raw/Hcal                                   |       255        |      255       |  1.00 |
| /Event/Link/Raw/Hcal/Digits                            |      60568       |     15159      |  4.00 |
| /Event/Link/Raw/Muon                                   |       255        |      255       |  1.00 |
| /Event/Link/Raw/Muon/Digits                            |       7306       |      1463      |  4.99 |
| /Event/Link/Raw/UT                                     |       275        |      275       |  1.00 |
| /Event/Link/Raw/UT/Clusters                            |      24380       |      7019      |  3.47 |
| /Event/Link/Raw/UT/Clusters2MCHits                     |      24554       |      7401      |  3.32 |
| /Event/Link/Raw/VP                                     |       275        |      275       |  1.00 |
| /Event/Link/Raw/VP/Digits                              |      97576       |     26859      |  3.63 |
| /Event/Link/Raw/VP/Digits2MCHits                       |      97782       |     27527      |  3.55 |
| /Event/Link/Rec                                        |       269        |      269       |  1.00 |
| /Event/Link/Rec/Calo                                   |       327        |      324       |  1.01 |
| /Event/Link/Rec/Calo/Electrons                         |      58502       |     14241      |  4.11 |
| /Event/Link/Rec/Calo/MergedPi0s                        |       6664       |      2209      |  3.02 |
| /Event/Link/Rec/Calo/Photons                           |      57274       |     13729      |  4.17 |
| /Event/Link/Rec/Calo/SplitPhotons                      |      12316       |      3453      |  3.57 |
