[?1034h== Refs (3050 B) ==
+------------+------------------+----------------+-------+
| Path       | Uncompressed (B) | Compressed (B) | Ratio |
+------------+------------------+----------------+-------+
| Containers |       3126       |      1002      |  3.12 |
| Databases  |       2148       |      1085      |  1.98 |
| Links      |       1808       |      797       |  2.27 |
| Params     |       166        |      166       |  1.00 |
+------------+------------------+----------------+-------+
== Event (570241 B/event) ==
+-----------------------------------+------------------+----------------+-------+
| Path                              | Uncompressed (B) | Compressed (B) | Ratio |
+-----------------------------------+------------------+----------------+-------+
| /Event                            |       601        |      226       |  2.66 |
| /Event/Calo                       |        70        |       28       |  2.48 |
| /Event/Calo/RawEvent              |      11476       |      8779      |  1.31 |
| /Event/Gen                        |       125        |       45       |  2.74 |
| /Event/Gen/BeamParameters         |       224        |      105       |  2.13 |
| /Event/Gen/Collisions             |       1275       |      658       |  1.94 |
| /Event/Gen/Header                 |       500        |      235       |  2.12 |
| /Event/HC                         |        70        |       28       |  2.50 |
| /Event/HC/RawEvent                |        73        |       28       |  2.60 |
| /Event/HLT2                       |        70        |       28       |  2.50 |
| /Event/HLT2/pSim                  |        98        |       38       |  2.55 |
| /Event/HLT2/pSim/MCParticles      |      17265       |      5819      |  2.97 |
| /Event/HLT2/pSim/MCVertices       |       9567       |      2813      |  3.40 |
| /Event/Link                       |       236        |       89       |  2.65 |
| /Event/Link/Raw                   |       211        |       79       |  2.66 |
| /Event/Link/Raw/Ecal              |        71        |       29       |  2.42 |
| /Event/Link/Raw/Ecal/Digits       |      437843      |     91401      |  4.79 |
| /Event/Link/Raw/FT                |        98        |       40       |  2.47 |
| /Event/Link/Raw/FT/LiteClusters   |      114924      |     14361      |  8.00 |
| /Event/Link/Raw/Hcal              |        71        |       29       |  2.42 |
| /Event/Link/Raw/Hcal/Digits       |      62841       |     14926      |  4.21 |
| /Event/Link/Raw/Muon              |        71        |       29       |  2.42 |
| /Event/Link/Raw/Muon/Digits       |       6352       |      1195      |  5.32 |
| /Event/Link/Raw/UT                |        98        |       39       |  2.49 |
| /Event/Link/Raw/UT/Clusters       |      36429       |      9863      |  3.69 |
| /Event/Link/Raw/VP                |        98        |       39       |  2.49 |
| /Event/Link/Raw/VP/Digits         |      120301      |     32504      |  3.70 |
| /Event/Link/Rec                   |        98        |       38       |  2.59 |
| /Event/Link/Rec/Calo              |       155        |      152       |  1.02 |
| /Event/Link/Rec/Calo/Electrons    |      73439       |     16062      |  4.57 |
| /Event/Link/Rec/Calo/MergedPi0s   |       6670       |      1858      |  3.59 |
| /Event/Link/Rec/Calo/Photons      |      56760       |     12726      |  4.46 |
| /Event/Link/Rec/Calo/SplitPhotons |      12331       |      2949      |  4.18 |
| /Event/Link/Rec/Track             |        71        |       29       |  2.42 |
| /Event/Link/Rec/Track/Best        |       8601       |      1474      |  5.83 |
| /Event/MC                         |       152        |      149       |  1.02 |
| /Event/MC/DigiHeader              |       193        |       83       |  2.30 |
| /Event/MC/Header                  |       501        |      267       |  1.88 |
| /Event/MC/TrackInfo               |       9978       |      2444      |  4.08 |
| /Event/Muon                       |        70        |       28       |  2.48 |
| /Event/Muon/RawEvent              |       1779       |      1757      |  1.01 |
