[?1034h== Refs (2866 B) ==
+------------+------------------+----------------+-------+
| Path       | Uncompressed (B) | Compressed (B) | Ratio |
+------------+------------------+----------------+-------+
| Containers |       6731       |      1574      |  4.28 |
| Databases  |        98        |       98       |  1.00 |
| Links      |       2919       |      1029      |  2.84 |
| Params     |       165        |      165       |  1.00 |
+------------+------------------+----------------+-------+
== Event (3166390 B/event) ==
+--------------------------------------------------------+------------------+----------------+-------+
| Path                                                   | Uncompressed (B) | Compressed (B) | Ratio |
+--------------------------------------------------------+------------------+----------------+-------+
| /Event                                                 |       683        |      310       |  2.20 |
| /Event/Calo                                            |       237        |      237       |  1.00 |
| /Event/Calo/RawEvent                                   |       9569       |      7055      |  1.36 |
| /Event/Gen                                             |       283        |      283       |  1.00 |
| /Event/Gen/BeamParameters                              |       391        |      391       |  1.00 |
| /Event/Gen/Collisions                                  |       1231       |      681       |  1.81 |
| /Event/Gen/Header                                      |       591        |      437       |  1.35 |
| /Event/HC                                              |       233        |      233       |  1.00 |
| /Event/HC/RawEvent                                     |       253        |      253       |  1.00 |
| /Event/HLT2                                            |       237        |      237       |  1.00 |
| /Event/HLT2/pSim                                       |       271        |      271       |  1.00 |
| /Event/HLT2/pSim/MCParticles                           |       9076       |      3463      |  2.62 |
| /Event/HLT2/pSim/MCVertices                            |       5358       |      1905      |  2.81 |
| /Event/Link                                            |       381        |      312       |  1.22 |
| /Event/Link/MC                                         |       267        |      267       |  1.00 |
| /Event/Link/MC/Particles2MCRichTracks                  |       4524       |      1057      |  4.28 |
| /Event/Link/MC/Rich                                    |       253        |      253       |  1.00 |
| /Event/Link/MC/Rich/Hits2MCRichOpticalPhotons          |      52996       |      2753      | 19.25 |
| /Event/Link/Next                                       |       247        |      247       |  1.00 |
| /Event/Link/Next/MC                                    |       277        |      277       |  1.00 |
| /Event/Link/Next/MC/Particles2MCRichTracks             |       5926       |      899       |  6.59 |
| /Event/Link/Next/MC/Rich                               |       263        |      263       |  1.00 |
| /Event/Link/Next/MC/Rich/Hits2MCRichOpticalPhotons     |      97454       |      4351      | 22.40 |
| /Event/Link/NextNext                                   |       255        |      255       |  1.00 |
| /Event/Link/NextNext/MC                                |       285        |      285       |  1.00 |
| /Event/Link/NextNext/MC/Particles2MCRichTracks         |      10302       |      1463      |  7.04 |
| /Event/Link/NextNext/MC/Rich                           |       271        |      271       |  1.00 |
| /Event/Link/NextNext/MC/Rich/Hits2MCRichOpticalPhotons |      194494      |      6659      | 29.21 |
| /Event/Link/Prev                                       |       247        |      247       |  1.00 |
| /Event/Link/Prev/MC                                    |       277        |      277       |  1.00 |
| /Event/Link/Prev/MC/Particles2MCRichTracks             |       4054       |      1007      |  4.03 |
| /Event/Link/Prev/MC/Rich                               |       263        |      263       |  1.00 |
| /Event/Link/Prev/MC/Rich/Hits2MCRichOpticalPhotons     |      54158       |      2931      | 18.48 |
| /Event/Link/PrevPrev                                   |       255        |      255       |  1.00 |
| /Event/Link/PrevPrev/MC                                |       285        |      285       |  1.00 |
| /Event/Link/PrevPrev/MC/Particles2MCRichTracks         |      15582       |      2403      |  6.48 |
| /Event/Link/PrevPrev/MC/Rich                           |       271        |      271       |  1.00 |
| /Event/Link/PrevPrev/MC/Rich/Hits2MCRichOpticalPhotons |      273550      |      9383      | 29.15 |
| /Event/Link/Raw                                        |       365        |      316       |  1.16 |
| /Event/Link/Raw/Ecal                                   |       255        |      255       |  1.00 |
| /Event/Link/Raw/Ecal/Digits                            |      238488      |     47133      |  5.06 |
| /Event/Link/Raw/FT                                     |       323        |      314       |  1.03 |
| /Event/Link/Raw/FT/LiteClusters                        |      60940       |      7837      |  7.78 |
| /Event/Link/Raw/FT/LiteClusters2MCHits                 |      62410       |      8727      |  7.15 |
| /Event/Link/Raw/FT/LiteClusters2MCHitsWithSpillover    |      81672       |     12741      |  6.41 |
| /Event/Link/Raw/FT/LiteClustersWithSpillover           |      78906       |     11815      |  6.68 |
| /Event/Link/Raw/Hcal                                   |       255        |      255       |  1.00 |
| /Event/Link/Raw/Hcal/Digits                            |      35360       |      8309      |  4.26 |
| /Event/Link/Raw/Muon                                   |       255        |      255       |  1.00 |
| /Event/Link/Raw/Muon/Digits                            |       1488       |      633       |  2.35 |
| /Event/Link/Raw/UT                                     |       275        |      275       |  1.00 |
| /Event/Link/Raw/UT/Clusters                            |      14112       |      4321      |  3.27 |
| /Event/Link/Raw/UT/Clusters2MCHits                     |      14318       |      4639      |  3.09 |
| /Event/Link/Raw/VP                                     |       275        |      275       |  1.00 |
| /Event/Link/Raw/VP/Digits                              |      56944       |     15961      |  3.57 |
| /Event/Link/Raw/VP/Digits2MCHits                       |      57022       |     16019      |  3.56 |
| /Event/Link/Rec                                        |       269        |      269       |  1.00 |
| /Event/Link/Rec/Calo                                   |       327        |      322       |  1.02 |
| /Event/Link/Rec/Calo/Electrons                         |      20638       |      5391      |  3.83 |
| /Event/Link/Rec/Calo/MergedPi0s                        |       1928       |      869       |  2.22 |
| /Event/Link/Rec/Calo/Photons                           |      21082       |      5347      |  3.94 |
| /Event/Link/Rec/Calo/SplitPhotons                      |       3420       |      1201      |  2.85 |
